File_Name,Color_1,Color_2,Color_3,Color_4,Color_5,Color_6,Color_7,Color_8,Percentage_1,Percentage_2,Percentage_3,Percentage_4,Percentage_5,Percentage_6,Percentage_7,Percentage_8
1(-90).jpg,"(60, 1, 100)","(47, 45, 58)","(49, 37, 24)","(49, 48, 49)","(41, 13, 87)","(51, 52, 16)","(46, 22, 55)","(47, 38, 36)",0.6384695860110596,0.10999850545508892,0.0594828874607682,0.0757734269914811,0.01270363174413391,0.03915707667015394,0.02884471678373935,0.03557016888357495
1(180).jpg,"(55, 7, 73)","(60, 1, 99)","(60, 8, 55)","(43, 6, 96)","(60, 8, 64)","(55, 6, 81)","(51, 9, 91)","(64, 12, 45)",0.04871329705032588,0.5210643015521065,0.033125041994221595,0.22293892360411208,0.03984411744943896,0.042262984613317206,0.07915070886246052,0.012900624874017335
1(270).jpg,"(60, 1, 100)","(51, 15, 69)","(45, 12, 92)","(54, 27, 33)","(55, 19, 55)","(43, 10, 95)","(45, 19, 91)","(65, 5, 79)",0.36637813211845105,0.030979498861047835,0.18022779043280182,0.01275626423690205,0.02305239179954442,0.1898861047835991,0.15043280182232346,0.046287015945330294
1(90).jpg,"(79, 1, 100)","(65, 25, 36)","(74, 15, 67)","(73, 38, 13)","(64, 18, 55)","(66, 29, 25)","(60, 22, 45)","(68, 10, 78)",0.28477769404672193,0.13206480783722682,0.08677467972871138,0.08571966842501884,0.12196684250188394,0.0967972871137905,0.15252449133383572,0.039374529012810855
