id,wall,building;edifice,sky,floor;flooring,tree,ceiling,road;route,bed,windowpane;window,grass,cabinet,sidewalk;pavement,person;individual;someone;somebody;mortal;soul,earth;ground,door;double;door,table,mountain;mount,plant;flora;plant;life,curtain;drape;drapery;mantle;pall,chair,car;auto;automobile;machine;motorcar,water,painting;picture,sofa;couch;lounge,shelf,house,sea,mirror,rug;carpet;carpeting,field,armchair,seat,fence;fencing,desk,rock;stone,wardrobe;closet;press,lamp,bathtub;bathing;tub;bath;tub,railing;rail,cushion,base;pedestal;stand,box,column;pillar,signboard;sign,chest;of;drawers;chest;bureau;dresser,counter,sand,sink,skyscraper,fireplace;hearth;open;fireplace,refrigerator;icebox,grandstand;covered;stand,path,stairs;steps,runway,case;display;case;showcase;vitrine,pool;table;billiard;table;snooker;table,pillow,screen;door;screen,stairway;staircase,river,bridge;span,bookcase,blind;screen,coffee;table;cocktail;table,toilet;can;commode;crapper;pot;potty;stool;throne,flower,book,hill,bench,countertop,stove;kitchen;stove;range;kitchen;range;cooking;stove,palm;palm;tree,kitchen;island,computer;computing;machine;computing;device;data;processor;electronic;computer;information;processing;system,swivel;chair,boat,bar,arcade;machine,hovel;hut;hutch;shack;shanty,bus;autobus;coach;charabanc;double-decker;jitney;motorbus;motorcoach;omnibus;passenger;vehicle,towel,light;light;source,truck;motortruck,tower,chandelier;pendant;pendent,awning;sunshade;sunblind,streetlight;street;lamp,booth;cubicle;stall;kiosk,television;television;receiver;television;set;tv;tv;set;idiot;box;boob;tube;telly;goggle;box,airplane;aeroplane;plane,dirt;track,apparel;wearing;apparel;dress;clothes,pole,land;ground;soil,bannister;banister;balustrade;balusters;handrail,escalator;moving;staircase;moving;stairway,ottoman;pouf;pouffe;puff;hassock,bottle,buffet;counter;sideboard,poster;posting;placard;notice;bill;card,stage,van,ship,fountain,conveyer;belt;conveyor;belt;conveyer;conveyor;transporter,canopy,washer;automatic;washer;washing;machine,plaything;toy,swimming;pool;swimming;bath;natatorium,stool,barrel;cask,basket;handbasket,waterfall;falls,tent;collapsible;shelter,bag,minibike;motorbike,cradle,oven,ball,food;solid;food,step;stair,tank;storage;tank,trade;name;brand;name;brand;marque,microwave;microwave;oven,pot;flowerpot,animal;animate;being;beast;brute;creature;fauna,bicycle;bike;wheel;cycle,lake,dishwasher;dish;washer;dishwashing;machine,screen;silver;screen;projection;screen,blanket;cover,sculpture,hood;exhaust;hood,sconce,vase,traffic;light;traffic;signal;stoplight,tray,ashcan;trash;can;garbage;can;wastebin;ash;bin;ash-bin;ashbin;dustbin;trash;barrel;trash;bin,fan,pier;wharf;wharfage;dock,crt;screen,plate,monitor;monitoring;device,bulletin;board;notice;board,shower,radiator,glass;drinking;glass,clock,flag
D:\ProgramData\GitHub\Fi-Mao-Tech\citycolorImpression\images-0\1(-90).jpg,0.06709490740740741,0.013349247685185184,0.02486689814814815,0.0,0.6008637152777778,0.0,0.18507233796296296,0.0,0.0,0.0,0.0,0.07951388888888888,0.0002416087962962963,0.0,0.0005598958333333334,0.0,0.0,0.0,0.0,0.0,0.00012008101851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011449652777777777,0.0,0.0,0.0,0.0,0.0,0.003857060185185185,0.0,0.0,0.0,0.00033998842592592593,0.0006221064814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007523148148148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18287037037037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0033984375,0.0,4.774305555555556e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010474537037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D:\ProgramData\GitHub\Fi-Mao-Tech\citycolorImpression\images-0\1(90).jpg,0.019254918981481482,0.29734375,0.03478298611111111,0.0,0.39047309027777777,0.0,0.17451099537037038,0.0,0.0,0.0,0.0,0.051076388888888886,0.0,0.0,0.0011646412037037038,0.0,0.0,0.0007407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006818576388888889,0.0,0.0,0.0,0.0,0.0,0.014765625,0.0,0.0,0.0,0.007598379629629629,5.208333333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.170138888888889e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013961226851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D:\ProgramData\GitHub\Fi-Mao-Tech\citycolorImpression\images-0\10(270).jpg,0.1510402199074074,0.03272135416666667,0.05601128472222222,0.004105902777777778,0.5285908564814815,0.0,0.0,0.0,0.0,0.0,0.0,0.13058015046296295,0.017217881944444444,0.008059895833333334,0.0,0.0,0.0,0.07156105324074075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011140046296296297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
