项目,值
建成年代,1989-1990年
房屋用途,普通住宅/新式里弄
建筑类型,板楼
开发企业,中房上海房地产（集团）有限公司
交易权属,商品房/已购公房/售后公房/使用权
供暖类型,自采暖
用水类型,民水
用电类型,民电
固定车位数,700
停车费用,150
燃气费用,3元/m³
容积率,0.7
绿化率,15%
物业费用,0.5元/月/㎡
