OBJECTID,lng,lat
1.0,125.99593411222442,26.40732554958129
2.0,125.99622703453298,26.406936372840676
3.0,125.99654250212107,26.406560506063542
4.0,126.04912937028011,26.39225551740302
5.0,126.04957489892035,26.392309600541477
6.0,126.04990743501932,26.39193302498976
7.0,126.05024921009654,26.391562604219466
8.0,126.05059780972213,26.39119847538285
9.0,126.05094639242033,26.390834428281
10.0,126.05129505840826,26.390470463401154
11.0,126.05164410926315,26.390107078864872
12.0,126.05199314234504,26.3897438812078
13.0,126.0523429616858,26.389381463007577
14.0,126.05269758871455,26.38902368219631
15.0,126.05311438520806,26.388803010961514
16.0,126.05359368015327,26.388921556969812
17.0,126.05396762808648,26.388586617516832
18.0,125.99694836593302,26.407655842410023
19.0,125.99727388880635,26.407280592187295
20.0,125.99802555537768,26.40777475777577
21.0,125.99785532789272,26.40724958324988
22.0,126.00320570257695,26.409105517083326
23.0,125.99856030352619,26.4064361385786
24.0,125.99826665236988,26.40683693012853
25.0,125.99769967674054,26.40677794467313
26.0,125.9980186372648,26.406396695342348
27.0,125.99833751906866,26.406015450218547
28.0,126.00608276932665,26.40690422006006
29.0,126.00600239148629,26.407393872625725
30.0,126.00671106713688,26.407428657732847
31.0,126.00679245700303,26.40693574907242
32.0,126.00685428927699,26.40644008396566
33.0,126.00616459439803,26.406361873627333
34.0,126.00706646426094,26.406409511679758
35.0,126.00780431346108,26.40655174800775
36.0,126.00793473940853,26.406940389936924
37.0,126.03073345647584,26.41200293136439
38.0,126.03019570597807,26.41176930822778
39.0,126.02980369249255,26.41208653293774
40.0,126.02999640818899,26.412340574099588
41.0,126.03048480431545,26.41245393454703
42.0,126.03105088489026,26.412629659041787
43.0,126.0315416087408,26.412732919036394
44.0,126.03203244195988,26.412836209960638
45.0,126.03708971804309,26.41050618038823
46.0,126.0371786757067,26.410012934191073
47.0,126.03726279749611,26.409518670022454
48.0,126.01164520264744,26.416444870417315
49.0,126.01655447855227,26.407916131709907
50.0,126.01701500460042,26.40771345246973
51.0,126.01747980066958,26.40752085145471
52.0,126.03248260009418,26.414203036048953
53.0,126.03250927135903,26.413703366087635
54.0,126.04579013687545,26.41797732190031
55.0,126.04528716396153,26.417980190077618
56.0,126.04635896341128,26.420549867116357
57.0,126.04871024193022,26.416058915315446
58.0,126.04981160560729,26.425110657671404
59.0,126.04981480714376,26.42461082304828
60.0,126.0545540340526,26.40698310108858
61.0,126.05492159274935,26.40731677296288
62.0,126.05524675273105,26.407659025101268
63.0,126.0557280111507,26.407796771781747
64.0,126.04629278823636,26.41743785745646
65.0,126.04629252522368,26.41693793918285
66.0,126.0462921542552,26.416438021178358
67.0,126.02054015353701,26.406568313461733
68.0,126.02007164881189,26.40643727367923
69.0,125.99720177344469,26.411094115820237
70.0,125.99769719782127,26.411031747443758
71.0,125.99819393683087,26.411027757643094
72.0,125.99868752265556,26.411115888223375
73.0,125.99918036474091,26.411209279499325
74.0,125.99967216306248,26.411308127004315
75.0,126.00016231978093,26.411415223825003
76.0,126.00064824089392,26.41154004557341
77.0,126.02786908688618,26.419248128058523
78.0,126.0180211856685,26.407292937553226
79.0,126.04854524789376,26.4053322024649
80.0,126.04892135955765,26.405659416577485
81.0,126.04929805051128,26.405985706810245
82.0,126.0496989138433,26.40628267678952
83.0,126.04982721023735,26.40666328607448
84.0,126.04946159828707,26.40677997196549
85.0,126.04902458456895,26.40653823074303
86.0,126.04858603413211,26.40629912347122
87.0,126.04814665030958,26.4060616382294
88.0,126.04770783882381,26.405823152678803
89.0,126.01976214931055,26.422913994017996
90.0,126.01926464386881,26.422846525661527
91.0,126.01876717810634,26.42277875567668
92.0,126.01826985364802,26.422710879220215
93.0,126.04807915377683,26.424848534542825
94.0,126.04857082878212,26.42494650169321
95.0,126.04906266539871,26.425043605790204
96.0,126.04420277177502,26.425675833560565
97.0,126.04369990080563,26.425670123043293
98.0,126.04319690350046,26.425666802395867
99.0,126.04239783216893,26.425663344468294
100.0,126.04189607449271,26.42565170490777
101.0,126.04471205204786,26.425186446643025
102.0,126.05110013429439,26.424287018151613
103.0,126.07011011053467,26.426021802356825
104.0,126.04470564195357,26.426419775510347
105.0,126.04470555463614,26.425919887894977
106.0,126.05733239520627,26.426537214380016
107.0,126.05786592369827,26.426456308493158
